Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
74,1436985,877278
491,809887,250180
992,1504317,944610
1495,1873396,1313689
2014,2335557,1775850
2499,2375729,1816022
3001,3379062,2819355
3522,1511203,951496
4014,1584242,1024535
4513,709395,149688
5037,80399,0
5555,63044,0
6059,27597,0
6560,47052,0
7019,55830,0
7527,47029,0
8020,381874,0
8541,20901,0
9029,643746,84039
9536,284259,0
10060,43414,0
10570,26998,0
11027,43213,0
11519,108806,0
12005,1135134,575427
12514,772993,213286
13017,107299,0
13517,80065,0
14034,24275,0
14535,26998,0
15038,32223,0
15541,30481,0
16043,22643,0
16546,32693,0
17044,56780,0
17556,36578,0
18062,182533,0
18571,67799,0
19027,33965,0
19531,22643,0
20037,32894,0
20540,50450,0
21046,26127,0
21552,53125,0
22055,30481,0
22564,47029,0
23070,32686,0
23575,40531,0
24081,55371,0
24589,43524,0
25043,48390,0
25544,36177,0
26054,22643,0
26564,38119,0
27073,33094,0
27578,38790,0
28084,32894,0
28591,28740,0
29048,39191,0
29560,29410,0
30069,40061,0
30580,48499,0
31084,34636,0
31597,35816,0
32103,51722,0
32567,38048,0
33063,42273,0
33568,37449,0
34077,51452,0
34584,31352,0
35097,35707,0
35606,36377,0
36114,38331,0
36553,501906,0
,,
,,
