Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
52,493738,0
507,843563,246929
1011,1586167,989533
1505,2859325,2262691
2007,4875768,4279134
2510,4410299,3813665
3013,1991454,1394820
3524,1311981,715347
4045,165818,0
4544,173138,0
5062,46686,0
5507,480661,0
6010,319168,0
6530,38131,0
7041,27668,0
7554,52736,0
8037,358504,0
8568,28539,0
9024,43825,0
9539,35163,0
10039,33965,0
10545,73156,0
11035,318521,0
11561,75578,0
12045,635454,38820
12548,131741,0
13060,38415,0
13566,20065,0
14070,21772,0
14571,29611,0
15072,25256,0
15526,26127,0
16027,23841,0
16530,27869,0
17036,31352,0
17542,28740,0
18045,37449,0
18554,21772,0
19058,65256,0
19561,29611,0
20066,31352,0
20575,47029,0
21075,50214,0
21584,40061,0
22086,36578,0
22541,47637,0
23047,25256,0
23550,239612,0
24056,30481,0
24562,58959,0
25067,17418,0
25571,29611,0
26084,33970,0
26597,31352,0
27100,55005,0
27566,48040,0
28064,34836,0
28570,27668,0
29060,430205,0
29589,20913,0
30095,28740,0
30604,35707,0
31111,50782,0
31562,106274,0
32072,33965,0
32575,99422,0
33084,33094,0
33591,41001,0
34102,29611,0
34618,45556,0
35070,32223,0
35580,45287,0
36085,33965,0
36584,374857,0
,,
,,
,,
