Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,1276557,895747
495,954957,574147
1006,701654,320844
1499,2396639,2015829
2001,3374035,2993225
2521,2798676,2417866
3007,2061788,1680978
3516,2860139,2479329
4020,3849144,3468334
4511,4264258,3883448
5014,1506046,1125236
5520,1189395,808585
6030,1187105,806295
6554,162914,0
7057,62010,0
7518,26998,0
8008,234389,0
8533,37248,0
9038,55025,0
9546,104794,0
10052,97830,0
10561,28740,0
11022,26998,0
11508,580777,199967
12022,401525,20715
12517,1166342,785532
13017,854083,473273
13523,871708,490898
14046,33999,0
14546,28740,0
15047,46967,0
15551,51992,0
16053,38458,0
16558,89178,0
17058,38458,0
17564,56346,0
18054,158837,0
18574,25256,0
19029,51121,0
19535,45425,0
20041,18289,0
20544,46296,0
21052,41741,0
21557,36736,0
22062,141952,0
22568,45225,0
23073,41942,0
23579,57887,0
24083,58913,0
24540,46628,0
25048,28740,0
25550,31352,0
26055,29611,0
26564,37919,0
27071,42674,0
27583,29611,0
28090,29611,0
28598,45356,0
29054,36177,0
29563,32101,0
30074,32223,0
30582,40331,0
31089,26127,0
31603,33094,0
32103,66127,0
32561,31352,0
33069,35707,0
33579,33709,0
34083,47969,0
34595,31352,0
35100,34636,0
35609,48771,0
36066,43144,0
36557,336994,0
,,
,,
,,
