Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
19,1033960,864357
498,930877,761274
1000,1426947,1257344
1497,2676390,2506787
1999,3622654,3453051
2501,2829213,2659610
3004,3106963,2937360
3506,3391052,3221449
4008,3130959,2961356
4512,1871667,1702064
5017,1829367,1659764
5533,925984,756381
6028,1482992,1313389
6534,1912413,1742810
7037,1945840,1776237
7537,3031837,2862234
8041,3181523,3011920
8541,1318211,1148608
9003,937082,767479
9500,2032120,1862517
9997,2166197,1996594
10504,1492219,1322616
11015,705541,535938
11516,1543309,1373706
12008,754909,585306
12512,823028,653425
13012,778529,608926
13520,588371,418768
14021,589528,419925
14524,571512,401909
15029,527991,358388
15531,513656,344053
16037,553800,384197
16528,1342968,1173365
17039,587107,417504
17544,566794,397191
18049,525813,356210
18547,615176,445573
19052,684190,514587
19553,615395,445792
20054,721258,551655
20515,533362,363759
21018,609456,439853
21520,531476,361873
22022,548066,378463
22523,784498,614895
23021,1702186,1532583
23522,1669999,1500396
24027,1137614,968011
24535,644904,475301
25040,551072,381469
25549,583058,413455
26050,628631,459028
26545,788125,618522
27048,877460,707857
27553,596004,426401
28056,1156331,986728
28554,1715023,1545420
29060,1569647,1400044
29564,1741492,1571889
30069,1570301,1400698
30514,1779316,1609713
31022,1527258,1357655
31526,1498773,1329170
32027,1510519,1340916
32532,1761019,1591416
33041,1649939,1480336
33533,1937509,1767906
34038,1681940,1512337
34542,1679609,1510006
35037,1710526,1540923
35547,852703,683100
36052,617235,447632
36550,1391738,1222135
,,
,,
