Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
46,411007,13637
499,899347,501977
1002,1776246,1378876
1508,2605540,2208170
1999,3575799,3178429
2503,4435566,4038196
3003,3330726,2933356
3505,3641915,3244545
4008,4039211,3641841
4509,3581617,3184247
5014,4439091,4041721
5514,3858919,3461549
6029,2825313,2427943
6530,1167783,770413
7033,890844,493474
7541,867581,470211
8041,845914,448544
8565,29611,0
9053,564978,167608
9508,297078,0
10029,53796,0
10520,358504,0
11040,104385,0
11527,745369,347999
12037,219974,0
12538,140611,0
13034,575203,177833
13553,42919,0
14054,30481,0
14561,24385,0
15058,38320,0
15561,27869,0
16062,23514,0
16568,26998,0
17022,42697,0
17527,33094,0
18031,29611,0
18537,33965,0
19040,30481,0
19546,26127,0
20048,56909,0
20542,695499,298129
21060,22643,0
21568,51383,0
22071,45287,0
22575,26127,0
23082,45287,0
23542,22643,0
24037,93631,0
24545,31352,0
25052,33965,0
25562,32223,0
26073,39861,0
26584,35585,0
27070,352597,0
27544,52277,0
28039,459350,61980
28555,34045,0
29061,31352,0
29569,50651,0
30075,38320,0
30590,27869,0
31104,34183,0
31603,107966,0
32061,45287,0
32547,516231,118861
33073,104619,0
33585,58042,0
34090,36177,0
34598,52862,0
35103,53125,0
35619,30281,0
36067,38320,0
36556,457924,60554
37076,824359,426989
,,
,,
,,
