Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
83,475381,39277
491,957990,521886
989,2215309,1779205
1492,4012794,3576690
1992,5853311,5417207
2495,5471582,5035478
2998,5590917,5154813
3498,4593017,4156913
4003,2215154,1779050
4506,1170476,734372
5011,1141734,705630
5516,1881361,1445257
6025,1255612,819508
6557,54901,0
7070,32304,0
7507,786486,350382
8010,552595,116491
8527,49735,0
9033,233107,0
9551,73506,0
10058,55371,0
10571,54432,0
11071,38990,0
11523,77672,0
12024,344431,0
12512,476461,40357
13015,231368,0
13518,58636,0
14030,22521,0
14537,20901,0
15039,22643,0
15543,22643,0
16044,24385,0
16551,16547,0
17060,34836,0
17559,33094,0
18064,74027,0
18573,51343,0
19069,118914,0
19530,27869,0
20037,45826,0
20552,91521,0
21049,43614,0
21563,28740,0
22059,32223,0
22565,30481,0
23072,40932,0
23577,21772,0
24081,70550,0
24587,26127,0
25043,77587,0
25546,31352,0
26054,37449,0
26538,216691,0
27071,99546,0
27579,48891,0
28088,66749,0
28594,55406,0
29106,34636,0
29565,36306,0
30070,33965,0
30574,36177,0
31082,65387,0
31587,111912,0
32089,49641,0
32596,98425,0
33106,53796,0
33605,107713,0
34114,40531,0
34571,28740,0
35079,38320,0
35590,47498,0
36100,50994,0
36602,515534,79430
,,
,,
,,
