Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
23,1348894,652815
503,820040,123961
998,1440046,743967
1501,2267958,1571879
2007,3170041,2473962
2501,2909568,2213489
3013,1231144,535065
3521,1250143,554064
4028,2507215,1811136
4518,3391139,2695060
5023,2977410,2281331
5526,3471218,2775139
6035,538555,0
6536,1873845,1177766
7034,3247150,2551071
7543,2677700,1981621
7993,2020475,1324396
8506,1754701,1058622
9000,2665665,1969586
9502,2768516,2072437
9996,1962876,1266797
10525,502154,0
11036,106572,0
11543,107410,0
12044,44485,0
12527,479084,0
13030,141403,0
13535,71844,0
14047,65907,0
14555,69601,0
15046,288948,0
15559,20901,0
16075,26998,0
16567,36252,0
17069,49241,0
17529,203100,0
18010,369181,0
18528,20901,0
19034,36578,0
19525,394355,0
20041,27009,0
20548,35081,0
21054,27869,0
21560,27869,0
22064,30481,0
22570,26127,0
23024,37449,0
23530,29611,0
24035,52254,0
24543,54867,0
25044,69660,0
25570,52412,0
26069,54784,0
26567,33721,0
27077,42944,0
27577,43144,0
28085,27869,0
28587,34836,0
29043,67599,0
29554,37248,0
30063,33094,0
30571,36377,0
31076,35707,0
31586,46893,0
32090,113232,0
32601,40331,0
33055,43144,0
33567,33965,0
34076,37449,0
34584,40061,0
35071,781540,85461
35599,68138,0
36104,40061,0
36602,141218,0
,,
,,
,,
