Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,70888,0
490,266162,0
995,857327,330155
1487,2048710,1521538
2005,1990641,1463469
2513,201342,0
3000,2024937,1497765
3506,1927277,1400105
4008,2408036,1880864
4509,2279608,1752436
5021,1134829,607657
5513,2653713,2126541
6014,2368385,1841213
6466,3448413,2921241
6973,2801597,2274425
7470,1503686,976514
7972,2373954,1846782
8488,1079961,552789
8995,195126,0
9487,1338802,811630
10008,1122824,595652
10497,2306673,1779501
10993,1584871,1057699
11501,1053656,526484
12004,86805,0
12519,18289,0
13017,103680,0
13536,36655,0
14026,27869,0
14532,26998,0
15031,213068,0
15539,18289,0
15993,52254,0
16500,28740,0
17009,34836,0
17510,41402,0
18016,65329,0
18519,26127,0
19024,59291,0
19531,26127,0
20039,34319,0
20541,57148,0
21054,68176,0
21552,50512,0
22006,41858,0
22512,30481,0
23026,43568,0
23526,36177,0
24030,33094,0
24534,29611,0
25047,32223,0
25547,41815,0
26056,33965,0
26565,32693,0
27023,43929,0
27529,50982,0
28045,46158,0
28549,38703,0
29064,73633,0
29564,33564,0
30073,46828,0
30525,59761,0
31039,113833,0
31535,56609,0
32045,40801,0
32552,34836,0
33062,53125,0
33565,52793,0
34076,39661,0
34535,30481,0
35042,47029,0
35553,40932,0
36066,28740,0
36559,360258,0
37072,893077,365905
,,
,,
,,
