Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
6,1418641,1055715
493,1470187,1107261
989,1491997,1129071
1497,2257938,1895012
2006,3130652,2767726
2496,2370882,2007956
3000,3753583,3390657
3502,4221434,3858508
4004,3577381,3214455
4504,2474149,2111223
5009,4466208,4103282
5513,2595420,2232494
6016,1394651,1031725
6525,1195286,832360
7041,178373,0
7546,94370,0
8039,702669,339743
8556,103984,0
9010,72285,0
9510,182506,0
10019,81865,0
10525,82748,0
11023,142560,0
11537,123546,0
12017,1055245,692319
12522,419665,56739
13030,299478,0
13534,278064,0
14052,55711,0
14544,91583,0
15052,99312,0
15554,108503,0
16058,81458,0
16563,77651,0
17065,61834,0
17513,292204,0
18012,251337,0
18523,110160,0
19028,85922,0
19540,71414,0
20042,88153,0
20546,57491,0
21047,162533,0
21549,458804,95878
22047,1236960,874034
22568,908092,545166
23069,1138419,775493
23573,1146748,783822
24081,1149659,786733
24528,1145332,782406
25028,1092600,729674
25541,1026144,663218
26043,1142800,779874
26553,1150444,787518
27055,1155675,792749
27565,1159176,796250
28081,1149866,786940
28529,1026699,663773
29049,349269,0
29559,71796,0
30062,110471,0
30565,130900,0
31071,91038,0
31575,118625,0
32076,257375,0
32592,73646,0
33098,81865,0
33546,150211,0
34045,272567,0
34558,74027,0
35063,115705,0
35569,79307,0
36071,78382,0
36555,814206,451280
,,
,,
,,
