Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,1644656,609411
504,1725978,690733
997,1776540,741295
1498,3163752,2128507
2001,2867309,1832064
2502,3545443,2510198
3004,3645944,2610699
3513,2427394,1392149
4017,2086938,1051693
4519,2459288,1424043
5034,963105,0
5530,918877,0
6029,657350,0
6538,113788,0
7059,148240,0
7562,78569,0
8036,875625,0
8503,395944,0
9020,77694,0
9530,141113,0
10035,66189,0
10539,54867,0
11045,61753,0
11553,100428,0
12039,931955,0
12538,279604,0
13041,254364,0
13546,163090,0
14058,51181,0
14566,64665,0
15064,63576,0
15570,57480,0
16070,54867,0
16523,63576,0
17027,103514,0
17539,55738,0
18039,60963,0
18542,55738,0
19049,60963,0
19548,83690,0
20058,59222,0
20565,66189,0
21069,61834,0
21572,57480,0
22078,58895,0
22584,61834,0
23038,48771,0
23546,53996,0
24051,66189,0
24554,107645,0
25059,65318,0
25563,77075,0
26070,68802,0
26580,117379,0
27083,91922,0
27593,73674,0
28095,204291,0
28556,129579,0
29063,75252,0
29568,108940,0
30078,59222,0
30579,106007,0
31081,162680,0
31590,94963,0
32098,113539,0
32601,135179,0
33055,64458,0
33561,67876,0
34068,67931,0
34573,100223,0
35074,94684,0
35580,70543,0
36086,64447,0
36588,73647,0
37084,479876,0
,,
,,
,,
