Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
71,1171918,764474
541,1103253,695809
1035,1100198,692754
1487,1703077,1295633
1989,3315119,2907675
2497,2300231,1892787
3000,1884814,1477370
3501,2558200,2150756
4002,2949237,2541793
4513,2550005,2142561
5003,3671778,3264334
5507,2660911,2253467
6018,3697016,3289572
6537,967734,560290
7035,1189791,782347
7546,1142447,735003
8031,670823,263379
8552,64952,0
9059,67060,0
9556,154350,0
10057,170100,0
10510,140940,0
11020,112703,0
11508,788710,381266
12009,965986,558542
12514,275753,0
13019,236688,0
13531,68705,0
14039,66189,0
14531,249523,0
15042,64717,0
15549,66816,0
16033,344103,0
16552,71432,0
17056,297044,0
17552,262656,0
18062,659648,252204
18565,78270,0
19023,87091,0
19535,81900,0
20032,85349,0
20538,63089,0
21041,63576,0
21546,85922,0
22051,67060,0
22558,67142,0
23057,90312,0
23558,106761,0
24068,80586,0
24571,98305,0
25074,97080,0
25577,130133,0
26038,78790,0
26542,85487,0
27047,67443,0
27548,73156,0
28065,69063,0
28558,64447,0
29057,151930,0
29550,1130219,722775
30070,778776,371332
30578,1134854,727410
31074,1120048,712604
31581,1150668,743224
32086,1134853,727409
32589,1138174,730730
33085,1037438,629994
33541,813279,405835
34049,406918,0
34551,1122660,715216
35058,1128757,721313
35564,1157342,749898
36049,1554681,1147237
36567,901471,494027
,,
,,
