site,crit,browser,lt,fp,fcp,e
21,mailchi,1,chrome,3319,1771.5,1771.5,14.8000840215
22,mailchi,1,chrome,3168,1757.2,1757.2,13.735923353
23,mailchi,1,chrome,3302,1834.2,1834.2,13.806636654
24,mailchi,1,chrome,3187,1817.9,1817.9,12.092611779
25,mailchi,1,chrome,3226,1822.5,1822.5,12.2815316315
26,mailchi,1,chrome,3042,1805,1805,8.309755067
27,mailchi,1,chrome,3630,1790.8,1790.8,10.3480383785
28,mailchi,1,chrome,3198,1880,1880,12.815719711
29,mailchi,1,chrome,3089,1800.7,1800.7,12.509431881
30,mailchi,1,chrome,3275,1764.9,1764.9,13.4389992725
31,mailchi,1,firefox,4066,898.4,3424,25.1468940685
32,mailchi,1,firefox,3052,1121.8,2404,30.715713321
33,mailchi,1,firefox,3118,1215.6,2476,26.7231707045
34,mailchi,1,firefox,3203,1451.1,2520,20.6622588615
35,mailchi,1,firefox,4260,940.6,3550,28.3153826655
36,mailchi,1,firefox,3310,1007.8,2528,22.256830455
37,mailchi,1,firefox,3794,1272.4,3119,21.20885441
38,mailchi,1,firefox,4601,3448.2,3447,27.324596519
39,mailchi,1,firefox,4075,1144.3,3423,20.442164964
40,mailchi,1,firefox,4294,767,3621,17.7466373665
41,playstation,0,chrome,5540,4995.5,4995.5,12.8550690105
42,playstation,0,chrome,5392,4837.7,4837.7,23.203160051
43,playstation,0,chrome,5785,5133.1,5133.1,10.3527881685
44,playstation,0,chrome,5426,4883.9,4883.9,25.8434424455
45,playstation,0,chrome,5699,4885.7,4885.7,11.1871326415
46,playstation,0,chrome,5479,4957.9,4957.9,19.6497083015
47,playstation,0,chrome,8326,6516.9,6516.9,9.171342035
48,playstation,0,chrome,5470,4932.6,4932.6,7.7342208005
49,playstation,0,chrome,5531,5001.2,5001.2,14.703703851
50,playstation,0,chrome,5429,4875.4,4875.4,18.4461665645
51,playstation,0,firefox,5217,1187.4,4502,29.293222371
52,playstation,0,firefox,6857,640.4,6727,34.606278743
53,playstation,0,firefox,5240,640.4,4629,26.7632002615
54,playstation,0,firefox,4787,815.4,4663,34.7394743395
55,playstation,0,firefox,4917,505.7,4805,29.945491194
56,playstation,0,firefox,9522,415.3,9346,30.4500638315
57,playstation,0,firefox,5839,941,5722,9.0905498325
58,playstation,0,firefox,5892,1388.2,5740,39.0096927985
59,playstation,0,firefox,6219,1732,5708,33.7869378005
60,playstation,0,firefox,5245,1232.2,4621,30.2235059895
61,loc,0,chrome,4224,1596.6,1596.6,6.7698291905
62,loc,0,chrome,4236,1458.1,1458.1,9.380604292
63,loc,0,chrome,4271,1600.3,1600.3,5.942257564
64,loc,0,chrome,4208,1427.3,1427.3,9.831155995
65,loc,0,chrome,4210,1598.1,1598.1,0.534700335
66,loc,0,chrome,4293,1626.9,1626.9,4.033919869
67,loc,0,chrome,4239,1490.3,1490.3,14.624831309
68,loc,0,chrome,4266,1628.9,1628.9,6.990785743
